	七宝本人要连线。好的，来了。
	老师你好。
	你好。
	我想说一下，就是我在学校，我现在成绩好了。但是我们语文老师我就是上课举手，他不叫我，然后看我总跟看。
	什么人一样，看罪人。对。
	你犯的罪吗？我没我啥罪也没犯。
	啥罪也没犯，你是不是多心了？
	我不是，反正我们老师对我的语气也不是特别的好。
	他对其他同学们。
	其他同学我好像好啊。
	你可以给老师举个例子吗？
	比如说我上课不举，比如说我上课举手。
	老师就不叫我，就是没叫你，很正常，我经常都不叫举手的学生。
	还别说其实。
	比如不了多少事儿，是吧？
	老师其实挺多的。
	就是一时想不起来了。说实在话，你语文成绩现在是不是挺好的？
	对。
	不是看罪人喜宝，我有90%的可能性，我认为李老师是对你放心的。你让老师抽人起来回答问题，他有一个习惯，就是我觉得哪些人没有认真，以前老师要不要处理起来回答问题？以前以前。
	以前也以前我以前我去找老师让我回答。对，老师还有一种就是老师就是总拿眼睛弯了，我啥也没干，他就完了。
	我跟你说两个原因，喜宝我我我很实诚，我不是要教育你我只是跟你说事实，因为我是老师，对吧？老师现在有两件事儿我听明白了，一个是你举手他不抽你起来，一个是他拿眼睛弯，我跟你说我只能猜，因为我也不认识你老师，但是我应该猜个八九不离十。你想。
	不想听一下？
	他之所以不抽你是对你放心了，这是一个原因。还有一个原因，等一下我说是对你放心的。你看以前你成绩不太好的时候，他还经常抽你起来回答问题。现在你举手，他打死不抽你了，原因就是他就觉得放心了。
	我可能不对，老师老师就是我四年级的时候成绩也好，老师对我的态度也特别好啊。现在到五年级，不知道不知道咋回事了，我那帮朋友接连犯事，但都没有我的事。然后老师就感觉我也我也记我也加进去了。是啊。
	就是也冤枉你了是吧？我跟你说三个原因，三个原因你又提供了一个信息，所以有可能有三个原因。第一个原因就是对你放心的这个东西你不要怀疑，应该还是存在的，应该还是存在的。
	就是你比如说你成绩变好了，最开始的时候我会特别的关注你，因为什么呢？你是进步的人，进步的孩子。比如说我是老师，你带入到我，因为我我是很有代入感的。
	本来因为我就是老是我们班上一个同学，他突然这学期成绩进步了，这一段时间我依然会经常抽他起来问题，因为我觉得他刚刚进步，我想看一下他是真的进步了还是假的进步了。最后对我来说我就比较关注他。然后当我抽他起来回答问题，对他也比较关注一阵子之后，我发现这个人真的还不错了，然后我就会开始忽略他。你不要觉得有什么不好，他忽略你其实就是信任你了而已。你现在听完这一个不他不只是这一个原因，然后我就会开始忽略这个人，因为我觉得我把更多的机会留给我想帮助的人。这个孩子他自己已经起来了，还不错，这是一个原因。
	第二个原因，你刚才说老是拿眼睛弯，你包括他有点冤枉你，还有可能有两个原因。第一个原因是你是不是有点得瑟？成绩进步了之后。
	我我我没嘚瑟，上课都听的特别认真。然后他。
	以前。
	比较调皮。
	对，下课也不错。
	现在就不调皮了吗？你是不是反而以前比较调皮，现在不那你说你就是。
	下课了就出去玩。
	这个不算什么调皮你有没有音？
	然后下课了有时候搁班里头，搁班里头有时候就喊喊。
	我就感觉到你会不会因为你自己体会一下，我估计你妈妈都不太了解，你自己会不会因为自己成绩好了，你以前调皮只是乱调皮，现在成绩好了之后，调皮的时候就有点嚣张。
	老师我是我，我就心里一直想，我说成绩好了，不能调皮，谦虚使人进步。
	你太好了，如果你稍微有点气焰，稍微有点嚣张的话，老师其实他也不是针对你。他是觉得你的气焰该压一压，所以经常把你弯一下，敲打你，你知道吧？这是非常正常的。我们当老师都有这个毛病，这也不是什么毛病。就是当我发现一个人成绩好了，他开始有点嘚嘚色，我就经常就要打击打击他，要打击他。会不会有这个原因？
	老师我我们对我对我就是我举手不回答，那是语文老师。我们数学老师现在对我态度特别好，因为我数学卷子打了100分。
	因为你成绩好，老师性格不一样。有些老师他就是喜欢走中庸路线，就是说你不能太冒头，你一冒头我就打击你。你反而表现很不好的时候，我会特别关心你。因为我发现我要帮助你，当你让我比较放心的时候，我反而经常打击你，这就是个性格。
	那你数学老师不是这个性格而已，对吧？你语文老师可能就是这个性格。因为你要知道老师是不会花太多心思跟你两个交流太多感情的。他很多时候他就是完全按自己的性格来。所以你说像因为我当老师的，我这么爱自己的学生，但是我却不会跟一个学生单独进行情感交流。
	什么意思？就是我站在讲台上的时候，我心里面装着几十个学生，我不会装着你。你听懂我的意思吗？我不会过分的关注你。如果我弯了你一眼，完全就是我的自然反应，这个自然反应完全有可能是因为我对你比较放心，这是一种可能。第二种可能是在我心目中你比较得瑟，是在我心目中不是你真的得瑟，但是也有可能是你真的得色，反正在我心目中你可能是比较得瑟了，我该敲打你了。所以我心里面就有一个这样的感觉，就是这个人该敲打敲打，然后我就没事儿就把它弯一下，这是一个很自然的东西，但是你却放在了心上，这是第二个可能性。
	你可以思考一下，就是思考这个问题，最后对你的行为并没有什么任何的帮助，只是让你想通这个问题而已。老师觉得你该敲打，所以就没事弯弯你一下。然后你举手的时候，他就觉得这个人还是比较放心的，所以没有必要抽他起来回答问题。懂我的意思吧？这是两个比较温柔的可能性。
	还有第三个可能就是真的有可能有什么误会，这个事儿你可以跟老师谈话，误会只有一个办法可以消除，就是沟通。今天你跟我讲就特别好，你就直接过去。就是说老师我觉得你以前都很喜欢我，现在我举手回答问题，你不抽我起来，有些时候拿眼睛弯，我感觉特别伤心，你可以告诉我为什么吗？那多好，老师一听着他就会一五一十告诉你，你是这个我没有你就会觉得老师说不定我跟你说七宝，说不定李老师家伟老师猜对了，他就觉得你嘚瑟。但是你觉得你没有。你跑去问老师老师说你最近太嘚瑟，你都很委屈，我没有嘚瑟，但是你他的眼中你很嘚瑟，然后你就说老师我真没有嘚瑟，谦虚使人进步。然后老师也觉得你你你可能没有消除误会，消除误会。然后老师就会觉得他可能没有嘚瑟，他只是比较好调皮，他渐渐他就对你没有这些成见了，这事也就结束了。
	懂我的意思吗？懂了吗？懂了，谢谢老师。
	懂了就懂了。你想一下你到底有没有嘚瑟？刚才我听你说话我都感觉你有点嘚瑟。
	不是我没嘚瑟。
	因为你自信，这不是坏事儿，嘚瑟也不是在我这里不是坏事。我可能跟你们数学老师是一样的人，就是我喜欢嘚瑟可能你语文老师是最讨厌嘚瑟的，为啥呢？因为语文老师他他的那个氛围，你看他教的是仁义礼智信谦虚那一套。嘚瑟会让你就是枪打出头鸟嘚瑟会让你就是在我们中国特别传统的里面，就是只要得瑟就死的很早。像杨修这些是不是都死的很早？语文老师他他心里面他就觉得你这样不对，也该打击。很有可能是这个原因，你得找老师聊。
	你说老师就是我我感觉到了，这学期你喜欢拿眼睛歪，我感到很伤心。我那么喜欢你，你为什么拿眼睛歪？我你可以告诉我为什么，老师就说因为你太嘚瑟了。没有，你要解释，你要解释，我没有，可能不小心体现出来了。然后其实我内心还是很得瑟，可是不知道为什么我没压住，没压住。那我继续注意一下，一旦我得瑟你就继续剌眼睛歪，一辣眼睛歪，我就知道我就改正好吗？老师老师都觉得很好很可爱。他说好的，你不就有把老师利用起来了吗？
	但是老师有可能会给你其他的答案。比如说你这学期上次跟那些同学犯的那个事情，老师非常不满意，你还是那么调皮，习惯不好。你说你就要解释，那是第一，老师那次跟我真的没关，可能是老师误会了我。
	那这样，那件事情反正也过去了，老师也惩罚了我，可不可以把那件事情放在一边让它过去了。从今天开始，老师看我表现，我绝对不会犯类似的错误，可是你就别拿眼睛歪我了，好吧，我因为我很喜欢你。老师你别这样，我很伤心，要勇敢去表达去沟通，很多误会就消除了。听懂我的意思吗？
	老师老师我能给我能给您讲一下我们老师现在的情况吗？
	可以。
