	你好温暖。
	张伟老师你好。
	你好。
	我其实好久都想跟你联系了。我们家老大就是今年初二男孩，等我理一下思路，我有点紧张。这都有两个多星期，跟我态度一点都？他是这样子的，成绩就是中等的那种。然后以前都是挺听话的那种，也不搞事的那种，然后我管的还是比较紧的。以前就是看过很多那种家庭教育的什么的，就可能学的有点乱了。
	就是现在很多这种情况。
	就是以前是搞规章制度，什么时间定的很死的那一套的。他就感觉他脾气很怪，有些时候一说他他就炸掉了。其实我我我我前天晚上，已经在群里跟有些家长讨论过的，他们也给了我意见，然后我现在还是想听听你的看法。他是这样子的，我有些时候他他做的不好的事情，我说他他就很老实，但是稍稍如果有点可能不对了，他就跳的真的很高的，就很厉害的那种。
	今年情况又不一样了，就不能说他只要我站在他旁边或者是稍微说他两句，他就叫的很大声。就是前上个上两个星期了，把我的胸哭了，我真的控制都控制不住。然后我我我我就跟他说，我说你们能不能好好说话，我说有什么事情的话，你不能这样子。对我后面他就更更不理我了，更不理我了。这几天就是听那些家长说过，我我我感觉我们稍微好一点。
	他他是那天晚上经常晚上很晚睡，他用电脑，然后他说他要学习，要查资料什么的。早上的时候就很早就起来，五点多就起来。他都说我是作业没写完，我还写会儿作业。然后我那天就发现他原来是用电脑在刷视频，然后我那天就把那个密码改掉了，他现在已经用不了了。今天早上四点多就醒了，我就说了他，我说你还要睡太早了，然后冷可能又跑回去，冷冷冷到五点半左右就在那里起来了，又闹我。
	他说开始是叫我给他开电脑，他说他还有作业。然后我就不我说你跟我说一下到底是做什么？他说我为什么要跟你说这个，他然后就跟我说，老师说还有读书卡没做，我就用手机跟他说了一下，我说读书卡就是这种模板的。他说那你给我手机，然后手机是因为进儿童空间。他说你看都没有，这都没有什么东西可以玩的，你就给我。我说既然没有东西玩，你就更不需要他了，对不对？他就很生气。
	你们两个一直在对立，我因为我就是初中班主任，你这情况常见。初一的时候我就会给家长打招呼，不过你问的问题有点大，就是如何与青春期的孩子相处这个问题我跟你讲几个小时，我捡重要的跟你说。好的，其实你也没有说具体的问题，就是孩子对你的态度突然的变化。在青春期的时候，其实这个态度从小就有了，只是被压抑。所以你要有一个心理准备，这是压抑久了的东西，压抑久了的东西不会那么快的消失。明白我的意思吧？不管你做的有多好多棒，但是你要知道你现在的委屈，可以对标孩子从小到大受的委屈，其实也是非常公正的，也没有什么问题因为孩子小的时候自我意识没有觉醒，他没有到一定的年纪，他有些事儿反应不过来，等反应过来的时候就是有巨大的委屈。
	包括你刚才跟我说话，虽然你只说了一小段，但是你的那种他的人生主宰形象，其实就跃然于直播间，就是你在主宰这个可以，这个不可以，这个你错了，这个你对了，这个你想钻空子没门儿。那个妈妈说了算，然后给你掰扯道理，这个叫做什么叫做主宰？就是我在主宰你的生活。你想一下，如果孩子在这种情况下过日子，比如说你的老公是这个样子，其实你是会很压抑的。
	就是不许你说今天我想买一个包包不可以，那你你你不可以就不可以，你为什么用这种语气说话？不可以，你昨天衣服都没洗，今天还想买包包，不可以，我就要买。反正我赚了钱，就买了一个，买了一个，把它锁在柜子里，不能用，今天早上要洗脸，你事儿做完了吗？还洗脸。这好像本来很正常的一个事情，但是他的这个态度可以不可以会让你觉得特别的局促不安，会特别大的压力，这种压力是感觉自己掌控不了自己的生活，一点自在都没有。
	说穿了我们其实很多时候是小孩子，特别是妈妈从小喂孩子奶，感觉他是一个特别小的孩子。但是往往会忘记他会长大会变成跟我们一样的人，他真的变成一个人了，变成一个人有些东西他是受不了的，这是只要是人都受不了。所以其实刚才你在说，比如说他什么早上起来做作业，可以不可以要拿平板，他又开始钻空子发视频了，然后我电话密码给他锁了。听起来是不是都是对的，听起来父母的做法完全没问题，我又没有教过孩子，我管的比较严而已。但是你要知道他背后呈现出来的姿态，就是我是在主宰你的生活，这个时候孩子会特别的抗拒，不是孩子抗拒，任何人都会抗拒。只要他觉醒，只要他感觉到自己是个人了，他就一定会抗拒。这是很多青春期教育的一个根源。
	就是啊我们要逐渐意识到孩子成长为一个有自尊心的人，他不愿意或者说不是他不愿意不是交换。大家千万不要往浇灌那边想，任何一个有自尊的独立的人格的人都不喜欢这样生活，这是你一定要打开的一个思路。但是孩子要管，怎么管呢？其实我们为什么会做一堂课程叫做自驱力？就是它其实不叫做自己管，叫做他会面对生活的种种，而不是面对你，不是面对你。比如说孩子早上起来做作业，如果你要骂他，要批评他，要有威严又不讨好他，其实你完全可以说早上起来做作业，那你要想一下你是怎么走到这样一步境地的。你好好想一下你啊啊啊你就不用再说其他的话。这句话它背后隐藏的意思其实是你在主宰你的生活，可是你玩砸了，你得好好想一想，懂我的意思吗？
	就是我们对青春期孩子的教育，更多的是把它放在主体。其实不是青春期从小教育的，就是要把它放在主体，要大家体会，你是怎么一步一步你把自己搞得那么难堪、那么尴尬、那么局促不安、那么紧急，现在又在急躁。如果孩子这样跟你说话，比如说他一下就炸了，就开始把把你说你为什么会哭？其实我告诉你，你为什么会哭？说起来有点悲伤，你哭实际上就是因为你没办法。
	对对对。
	你没办法了，你说不出话，你又不敢像小时候一样打他，但是又说道理又说不过他。这个时候自己被欺负，而且是被自己最爱的孩子欺负。然后突然之间就觉得整个世界一下就暗下来了，然后自己心里面气一下就爆炸了，然后又没有任何的话说，人人就会特别容易哭泣。
	像这种时候，实际上能说的话很多人做的教育也很多。你知道吗？一个大人在面对小孩子，哪怕是青春期的孩子的时候说话，什么叫做有威严的说话？你知道你现在情绪失控了吧？你怎么把自己搞到这个情绪里面去了？你都忘了吧，你对正在帮助你的妈妈，我都不说我是妈妈。我对你没有恶意的人，你这样说话了，你已经心理不稳定。
	医生怎么会心里如此不稳定？他问你，你娃儿咋的什么事情？是作业吗？那小的事情能把你情绪搞成这个样子，对吧？这其实也是一种共情。
	用现在的来话来说，就是说不管发生什么事情，我首先体会到你处于什么样的境地，然后告诉你发生了什么事情，然后再告诉你这条路应该怎么走。要想解决这件事情就干事情唠唠叨叨的，你给我讲道理有什么用？把第一步事儿做了，你情绪才会下来。你骂我不仅让我委屈你，你说你在干什么？
	而且你刚才说的话什么不要管我了，我是你主人，你自己主宰不了你的生活，你又不是不想好，你是想好，你只是没管到，没管到就发那么大的脾气。没管他就是管好吗？就是你你看到没有你情绪再大，你骂的再凶，很多父母青春期的时候不可能。我孩子如果我这么大声的说话，他就爆炸了。这个点我跟青春期还是打了13年交道了，我跟你们说这个点非常重要。
	就是你在说他的痛苦他就没事儿，你在说道理就有事儿，你只要说道理，难道不该学习吗？他他跟你说一堆，那说到底不应该玩游戏，他跟你说一堆，你跟他说到底作业应该怎么样，他跟你说一堆。因为你知道吗？你跟他说道理是自上而下指指点点的。但是你在说痛苦就没事儿，你你你在说痛苦是真的就没事儿，你说的再大声都没事儿。你说哼，我说咋了儿砸了，但是你不要小人嘴脸，我就说你不听妈妈的话，所以你现在你看你多惨小人那小人又来了，马上骂你那是成年人一样的。
	如果你的同事你的一个比如说项目一个业务没有做好，我当时开会的就说你做不好，你不听我的建议，你就做不好的。你想不想打他，拳头都捏紧了。你如果真的把孩子当个人，你把自己带入进去，你会发现父母说的很多话真的会让孩子砸掉。
	不是他青春期烦躁，因为以前为什么小学没炸掉，他没反应过来，你知道吗？他自尊心还没起来。你经常想一下你说的话，如果是你的老公在说，是你的同事在说，你早就炸掉了，你孩子炸掉也很正常。但是问题就是我们在一个单位公司群体或者在家庭中也好，我们其实是对对方是有管理的，向上管理向下管理，对不对？我们管理的时候不是小人嘴脸的，我们也不是掰扯道理的。你看那个当领导的人，特别是中国的领导，你会发现他不一定骂人，他也不一定给你说道理。好的领导，他跟你讲情感，你知道吗？而且讲的不是他的情感，讲的是你的情感。
	最近压力很大是吧？压力很大。上次我给你提的那个软件，你不妨用起来。小王过来，小张那个软件，他因为之前没有用。我这一个月看见他工作的很辛苦。如果他需要你帮帮他，你是用熟了的，没事儿。
	小张，这个软件没问题。我们公司提供的，你有问题就问小王，小王也是认真学习的，你们有事儿都可以问一下，希望你下个星期能工作轻松，好吧。你听着就还好，其实你往往还会去学习。
	但是如果说早跟你说这个软件不用，你要玩啥，你不听话，不听话就是这个下场，一下就炸掉，一下就觉得这个领导神经病，根本就不懂，没有在一线工作过，什么软件，就是那些开发商骗钱的，就把我们老板骗了，叫弱智。你你你明白吗？就是那个那个点你只要找到，你就知道跟青春期沟通的诀窍其实是如此的朴素，就是把他当人而已。
	你可以很大声，他突然情绪失控，你知道你情绪失控了吧？不要把自己生活搞成这个样子。你再看一眼我是谁。我话都没说，对吧？但是有个问题，孩子怎么了？到底怎么了？这么大的脾气是一种痛苦，到底什么原因？你现在着急不跟你说，你抽个时间跟我说，今天你为什么这么大的脾气，你得给我说一下，我能帮你的，他说你不能帮我。
