	好，你好，海洋。张伟老师你好。对，你好你好，我上次给你发过私信的。
	好，你说一下。
	是这样子的，我的孩子现在是12岁，今年9月份上的初一。然后他现在自驱力非常成问题。我就讲一个事例，昨天晚上我们写作业，老师是数学、语文和英语有三门课的作业。然后他放学回来，我说你把作业先列一列，就是理一理理清楚，然后再选择一下，从最简单的开始做。然后他就理了理了之后他就说我要做数学和语文。我说好的，然后他就开始在那做，从七点晚上7点45一直到九点半左右，做了数学就只做数学，就是在写作业的过程中不断的会发呆，会做别的事情。不管什么作业他就会比较抵触。
	你说的体验感不好，他由于这个作业的问题，然后上课可能也会注意力不太集中。比如说他昨天晚上回来记的作业，他是没有记全的。我看了一下他们老师发的那个照片，老师的所有作业都写在黑板上，但是他带回来的作业只记了其中的一部分。我已经不知道怎么帮他走迈出这个第一步，首先让他有希望能够看到自己可以成功。第一步我现在不知道怎么走，我很迷茫。
	是这样的，就通过你说话能我我能感觉到现在你孩子是初一是吧，就是药物升初一了，是这个意思吧？
	是已经初一了。
	已经初一了，现在已经上了几天课了，是不是？
	对对对。
	然后他是每天回家。
	每天回家。
	所以每天是在家里面做作业，对不对？
	他们是上晚托，要上到八点钟。因为才开学，所以这两天是在家里写作业，以后会在学校上到八点，然后八点回家。
	我跟你说，首先作业这件事情你不要用管的姿态了，其实你做的很好。让他列一个清单，先写数学。他说的，结果很久很久都没写完数学。首先你看一下，你要把所有的东西都当成孩子的一个前提。他的一个现状就是他不相信，他讨厌作业，所以自己查发呆走神、拖拉磨蹭，然后写了很久才写。
	你说三面是不是？对，这就是叫做盯着反馈走是什么意思？这就是他的现状。不是你心里面认为老师的那个任务才是孩子应该达到的要求，现在孩子只能达到这个要求，你不要管是什么原因。还有太多的问题，有上课也不认真的问题，有自驱力的问题，然后也有能力的？也有内心抵触的问题。就是你不管有多少问题，但是这些问题综合反映下来，就是在一个相对正常的一天，孩子他2个小时只能做三遍数学。
	然后那个时候你说你着急了，其实就是这儿出问题。很多父母他觉得很难办到，其实并不是很难。因为我当老师的，有些老师就觉得很难办到，但是有些老师我跟他们一说，他们就明白了。这个时候其实很简单，应该静下心来告诉孩子，你看这就是你的速度。你回想一下，因为我们每天是要完成作业的。然后到了初中，妈妈当然希望你八点钟以前就能完成作业，回来可以开点小专题或者我们一起聊聊天。
	那么嗯如果可以达到这个要求，你觉得你应该优化什么，对不对？你可以优化什么？他说我不发神就好了，你说原来你发了神对吧？发了呆。
	他说是我稳不住，你说其实这个很正常，我跟你说我跟很多孩子都有过这种沟通，他跑来问我，因为你知道吧，我们初中他是晚辅是要到九点，然后加上延时，有些时候要到九点半，我们是肯定要在学校做完作业。所以其实很多时候还不是父母来找我是孩子来找我，为什么呢？因为他小学也已经养成了这种感觉，就跟你的孩子一样，这种情况我见太多了，他就是做不完作业，他没有办法做不完作业，所以他们就会来问我，而且他们找的理由出奇的一致，就是我不知不觉会发呆。因为你是家长来找我，你就会讲的很全面。但是孩子他不这样想，孩子他就说我不知不觉会发呆。
	其实孩子的心里我非常理解，他其实是他没有完成作业，然后被老师批评，然后我的数学作业我就是这样搞的。我先跟你说一下老师角度。第一个你数学作业如果做不完很简单。我说我改变一下我们班上做作业的一个流程。以前一般作业就是发下去大家自己做，晚自习什么时间做都可以。我现在数学作业是啊8.4 10到9点钟定时像考试一样的做。
	你说你就可以告诉孩子，你说其实有一个很好的办法，你说作业可以不用做完，但是我们把作业当做考试，我们最后还可以改一个分，我们把它做成一个游戏。老师第二天不是要批改作业，对不对？批改了之后作业它是没有分数的。但是我们知道比如说选择题是四分，填空题是四分，这种解答题六分、八分、12分，语文这种三分，这种是这个点子有三个，估计是六分，点只有两个估计是四分。你把这个分数一拉出来，每天有一个分数，稍微打漂亮一点啊不要太严格啊不要以扣分为目的，以得分为目的。懂我的意思吗？
	然后你说今天晚上八点之后，你哪一科作业做完了，或者现在不是没有完成？你问一下，就是你估计一个时间，然后估计时间大概就是可能要十点钟才能做完作业。你说这样我们压到九点半做不完，没事儿，但是每一个学科有分有时间你说这样你其实轻松很多，我们可以试几天是吧？有些孩子喜欢这种，我跟你说作业做完是很多家长的一个KPI，其实根本就不要去关注这个事儿。我们班上我跟你说我教四届了，超级多学霸，没有几个孩子能够做完初中的作业。不是说我的作业多，我作为数学老师，其实我自己班上的孩子都说我是作业最少的老师，但是实际上还是做不完。为啥做不完？
	原因很简单，英语要背诵，英语要背诵，它是个活动的时间。语文老师有些时候会布置一些我他认为时间很短，实际上超级费时间的事情。比如说每天写个日思路，有些孩子十分钟就写完了，有些孩子写1个小时，有些孩子他就思考飘了。然后有些老师就说你不要思考那么久，但是那个孩子他自己也控制不住，你知道吗？因为我就是这样的。
	如果我今天晚上我要写一首诗，我说我写诗的时间一般半个小时就能出一首，我是高产。但是我坐在那里，我有可能今天晚上再看时间三点钟，妻子来找我，怎么还没有睡，你明天还上班。我说不要不要不要烦我不要烦我，对吧？他说你说的，你写了之后，你好像还有个什么事儿，我才突然想起我我我还有个事情，我还有个事情没有做。现在晚上三点钟了，凌晨三点了，我这首诗还没写完。他说你写怎么写那么久，我一看我写了十首，我刹不住，你知道吧？
	有些东西本来孩子就刹不住，你们要看我成年人都刹不住。所以有些时候语文也来了，一下到了初二，像我们成都是初二学物理物理又来了，数学又来了。有些数学老师非常的理想化，每天要出完备的作业，还有那种难题，有些孩子属于轴的，就是比较偏执的，往往还是学霸，做不起难题誓不罢休。
	到了晚自习下课，每天我跟你说九点钟我离开教室的时候，都有几个学生拉都拉不走，回寝了不回寝要被惩罚。然后就他他也听他也听话，他先站起来，可是手没有离开作业本，然后班委去拉他他怒目而视是吧？凳一关走在路上都还在这样，为什么呢？你认为他是非常好学，特别是有些人他就是有那个执念，他做不起就不行。然后你问他，我说我说你做数学做那么久，我说数学是你最后做的，我还没有做英语作业。我说你数学做了多久？我做了一个多，我一个晚自习都在做数学，我说我数学作业就是15分钟的量，这道题我一直想不明白。我说你为什么不来问老师不要你给我讲，我要自己弄明白，我就说往往还是学霸。
	所以实际上我自己班上的家长也好，经常有人来咨询我也好，我发现特别是孩子上上了初中，凡是对作业要做完有执念的，一般都是有乱糟糟的情绪。刚才我举的例子肯定不是你孩子的例子。你说你孩子有自驱力的问题，我刚才举的都是没自驱力问题的孩子。我想说的是，你看自驱力这么好的孩子，他作业依然有问题，做不完的他做不完，而且他会受到各种各样的影响。而做不完作业，做不完作业老师一定会批评他，他会给老师解释这是一个社交的训练。
	然后我们只需要控制，我们不要做老师的事情，去催他做作业，去让他的作业一定要做完。而我们往往是提供一个方案，然后孩子自己选。然后他如果觉得还是不爽，我们就调整方案。我们一定要以这种姿态来训练初中的孩子，你说老师你是不是太讨好孩子？
