	两百几个币，你好你好。
	前几天跟你连完线之后，现在孩子好多了，我也好多了。现在这个大方向我可以拉的还可以了，我的情绪也可以控制很好了，但是还有一些小的卡点。你说孩子就是有一个老问题，而且我一直过不去，他就是同一个错误他可以犯很多遍。比如说就是这个数学题，它有一个知识点了，他这块错了，然后下次再做还错，下次再做还错，然后等到过了一段时间，这个错误改了，然后还会错，然后又会错。他就是老是按照那种好像经验去做题似的，他不按照按照那个题目的那个要求去做，他就是老是按照自己那个思维去做，惯性思维去。
	还有就是在生活上也是，比如说他这个杯子今天丢了，他今天哎呀哎呀他说知道丢了，我下次一定改。那第二天他又丢了，出去打篮球老是丢杯子，都丢丢了十几个杯子了。我再举几个例子，也是也是这个也是那个这种的。还有手表，他带手表去游泳，他的手表就忘脱了，那扑通就跳到水里面。好，手表今天坏了，那下次就他他也很懊恼，等到下次他又一股脑又跳水里，手表又坏了。打篮球也是，总是翻了翻烂了给吹了，下次又翻，下次又翻，就都是这种问题。我就我就我我也不知道该怎么办，有时候跟他发脾气也不好用，然后有时候跟他好好说，我说我们好好改列清单，把这件事情捋顺了再做。他有时候会改过了一段时间又反，就是这样。
	你觉得这是一个很大的问题，是不是？我跟你说这是所有人成长的一个问题。不是你的孩子。你知道我给你举个例子，你孩子上小学是吧？
	那他上三年级，上三年级。
	对对对，我跟你说，你知道其实小学、初中、高中刚刚当老师的人有这种疑惑，所以你的疑惑也很正常。其实是很多家长的疑惑，就是因为这个是几乎所有的人刚为父母，刚为老师，最大的困惑就是一个事儿，错错了还是错。我最开始没有当班主任，我第一年是没有当班主任，我在数学办公室，我跟你说从早到晚你就听到一句话，今天上课才讲了，这个孩子错了四遍了。然后是初中，高中一样的，每天就听到同样的语言。
	其实最开始我都很纳闷，因为有一件比如说一件很简单的事情，就非常简单的事情。比如说根号A是A的算数平方根，不是平方根。很多孩子他小时候看了一些超前的书，他就觉得根号就是平方根，但是实际上根号是算数平方根，比如说就这个事儿这个事儿老师在课堂上有可能会花20分钟来讲，真的会花20分钟来辨析这一个小事情。都初中了，然后辨析完了之后，你下来问十个孩子，有八个孩子要说，我说根号A是的什么平方根，你只有把它定着，然后因为它有定式思维，你知道吧？这就叫做定式思维，其实这是第一个。第二个你们可以假想一下，你们其实都可以看看他们做的题，做的东西。如果老师讲一遍或者犯了一遍错误，就真的完全可以改掉。我的天三年级可能都可以，高考就差不多就是这种速度。
	因为我们在成长过程中花了大量的速度，就是解决惯性的问题。就是因为一个人他为什么我们说上课特别重要？就是因为他第一次接触这个知识。你一旦提前对一个姿势或者对一个动作，比如说你说饭碗的问题，或者是掉掉水杯的问题。一旦开始了，你要结束这件事儿就是交换很长的时间。
	首先我们会有一个特别大的误区，就是如果他知道痛了，他就会结束这件事情，然后如果他不能结束是痛的不够，这是我们很常见的一个想象，实际上这个想象也是对的，确实痛的不够。比如说我举个例子，如果一个稍稍的通红的锅，然后你摸了一下被烫了一个泡，痛了几天，实际上你以后也不会再碰这个锅了，这就是痛痛够了。你懂我的意思吧？但是实际上我们在成长的过程中，大部分的事情都可能这么痛的，你说掉个水杯，掉个水杯是很懊恼，可是有人兜底，然后你也不可能打他一顿，对吧？什么事儿都让他看着，那么他生活将没有任何的弹性可言。就是你要知道其实这是很很有意思的两个事情。就是说为什么我说底线一定要严格，你打他一顿都没事，那就是那个东西就是叫做碰不得。但实际上生活大部分的事情是碰到的，比如说水杯放在一个地方，忘了这件事情并不是不可饶恕的。
	如果你生活中不可饶恕的事情太多了，孩子就是叫做局促不安、举步维艰、如履薄冰。他的成长没有力量，他一直在萎缩，畏畏缩缩的萎缩，然后一直在收紧，不敢探索，不敢进去。所以不能够让他每一件事情都痛，对吧？那么我们主要就是让最底线的事情我们要让他痛，比如说你不能违法对吧？这个就是有很多父母出了这种问题，就让孩子痛个够，有效果。可是我刚才讲了，他的人生将举步维艰，这是我们所期待的。所以有没有其他更好的办法？
	其实就是刻意训练，实际上很麻烦。你仔细想一下，如果每一件事情他都没有惯性的话，他都能够改变他自己是个机器人的话，其实你只需要输入就好了。你仔细想，如果孩子他是一台机器，他能够马上出现指令就能够改变的话，你可能在一个月就可以把中学的知识给他塞完，没有任何问题。
	对，大家仔细想一想，人就是因为他他有经验和主义，然后他的成长才越来越有韧性，但是也就很慢。那么怎么刻意训练？比如说刚才你举的例子是那个什么数学题？比如说某一个错误，某一个错误实际上我跟你说，他肯定很懊恼。在懊恼的时候我不是说一直要指明方向，那么方向在什么地方，方案是什么？
	怎么解决这个问题，一个习惯要覆盖，另外一个习惯要刻意的训练，比如说那个饭碗的位置，那么实际上教练可能也在刻意训练他，但是刻意训练并不是大家想的效果那么快的。你可能本来每一次，比如说我举个例子，你总是用右手突破，你打篮球的时候你喜欢右手运球突破。但是我们知道我们有些时候变了向之后，左边突破会好一些，路线会更清晰。比如说跟防守的队员的站位有关，我要用左手，但是我左手总是运不好球，对吧？
